send_today,priority_bucket,channel_strategy,message_type,organization_name,lane,distance_miles,email,phone,website,role_target,custom_message_draft,status,owner,notes
YES,Send Now,Email,Direct Intro,Muslim Center Junior High School,School,1.05,mces786@gmail.com,+1-718-460-2127,https://www.muslimcenterschool.org/,School Social Worker,"Hi Muslim Center Junior High School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,ACE Institute of Technology,School,2.62,yadhiritarodriguez01@gmail.com,+1-347-806-3919,https://www.acecareer.edu,School Social Worker,"Hi ACE Institute of Technology team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,The Summit School,School,3.88,info@summitqueens.com,+1-718-264-2931,https://www.summitqueens.com,School Social Worker,"Hi The Summit School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Public School 41,School,3.9,jferrara3@schools.nyc.gov,+1-718-423-8333,https://www.ps41q.com/,School Social Worker,"Hi Public School 41 team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Public School 305 Learners and Leaders,School,4.89,parentcoordinator305@schools.nyc.gov,+1-718-366-1061,https://www.ps305.com/,School Social Worker,"Hi Public School 305 Learners and Leaders team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,South Bronx Classical I,School,5.73,ops1@classicalcharterschools.org,+1 718 860-4340,https://classicalcharterschools.org,School Social Worker,"Hi South Bronx Classical I team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,NY Kids Club,School,5.93,nykidsclub94@nykidsclub.com,+1 917-924-8288,https://nykidsclub.com/NYC-Kids-Club/location/e-94th-street,School Social Worker,"Hi NY Kids Club team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Margaret Tietz Nursing and Rehabilitation Center,Support Organization,3.18,info@margarettietz.org,+1-718-298-7800,https://margarettietz.org,Program Intake Coordinator,"Hi Margaret Tietz Nursing and Rehabilitation Center team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Program Intake Coordinator or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Little Peoples Playhouse 2 LLC,Support Organization,4.31,LilPeoplesPlayhouse@gmail.com,+1-347-208-5804,http://littlepeoplesplayhouse.org/,Program Intake Coordinator,"Hi Little Peoples Playhouse 2 LLC team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your Program Intake Coordinator or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Democracy Prep Public Schools,School,6.09,hpes_info@democracyprep.org,+1 212-876-9953,http://hpes.democracyprep.org/,School Social Worker,"Hi Democracy Prep Public Schools team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Arc En Ciel,School,6.21,director@arcencielny.com,+1 212-410-0180,https://www.arcencielny.com,School Social Worker,"Hi Arc En Ciel team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Preschool of America,School,6.27,emims@preschoolofamerica.us,+1 212-987-3700,http://www.preschoolofamerica.us,School Social Worker,"Hi Preschool of America team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,La Scuola d'Italia Guglielmo Marconi,School,6.51,admissions@lascuoladitalia.org,+1 212-369-3290,https://lascuoladitalia.org,School Social Worker,"Hi La Scuola d'Italia Guglielmo Marconi team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Ramaz Upper School,School,6.57,us@ramaz.org,+1 212-774-8070,https://www.ramaz.org/,School Social Worker,"Hi Ramaz Upper School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Park West Montessori School,School,7.09,pwadmissions@twinparks.org,+1 212-678-6072,https://www.twinparks.org,School Social Worker,"Hi Park West Montessori School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Mount Moriah Christian Academy,School,7.28,mmca_admissions@mtmoriahchristianacademy.com,+1-718-953-4364,https://www.mtmoriahchristianacademy.com/,School Social Worker,"Hi Mount Moriah Christian Academy team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Northeastern Adventist Academy Queens Campus,School,7.34,info@lsdaschool.org,+1-718-554-0734,https://lsdaschool.org,School Social Worker,"Hi Northeastern Adventist Academy Queens Campus team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Robert Louis Stevenson School,School,7.35,admissions@stevenson-school.org,+1-212-787-6400,https://www.stevenson-school.org/,School Social Worker,"Hi Robert Louis Stevenson School team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
YES,Send Now,Email,Direct Intro,Success Academy,School,7.41,SAUW.MainOffice@saschools.org,+1-646-274-1580,https://www.successacademies.org/school/upper-west/,School Social Worker,"Hi Success Academy team — I’m reaching out from Open Goal Soccer. We support autistic youth ages 8–15 through structured, movement-based programming in NYC. Could we share a short referral overview with your School Social Worker or family support lead?",Draft,Maya,
